Date,Open,High,Low,Close,Adj Close,Volume,Date
2020-01-02,106.37000274658203,108.11000061035156,106.27999877929688,107.73999786376953,107.73999786376953,150400,2020-01-02
2020-01-03,105.77999877929688,109.01000213623047,105.16999816894531,108.58000183105469,108.58000183105469,156200,2020-01-03
2020-01-06,107.41000366210938,108.16999816894531,105.44999694824219,107.63999938964844,107.63999938964844,323600,2020-01-06
2020-01-07,107.18000030517578,109.98999786376953,105.53500366210938,109.18000030517578,109.18000030517578,179500,2020-01-07
2020-01-08,109.36000061035156,113.4800033569336,108.6500015258789,112.86000061035156,112.86000061035156,226300,2020-01-08
2020-01-09,114.0,115.5999984741211,113.05999755859375,113.25,113.25,175500,2020-01-09
2020-01-10,113.86000061035156,114.54000091552734,106.80000305175781,110.73999786376953,110.73999786376953,379500,2020-01-10
2020-01-13,111.79000091552734,113.0199966430664,111.32499694824219,111.79000091552734,111.79000091552734,174600,2020-01-13
2020-01-14,112.27999877929688,114.86000061035156,111.27999877929688,114.05000305175781,114.05000305175781,190200,2020-01-14
2020-01-15,114.23999786376953,118.83999633789062,114.23999786376953,116.66000366210938,116.66000366210938,299700,2020-01-15
2020-01-16,117.44000244140625,118.41000366210938,115.45999908447266,116.66000366210938,116.66000366210938,177800,2020-01-16
2020-01-17,117.7699966430664,119.83000183105469,117.0,119.66999816894531,119.66999816894531,189300,2020-01-17
2020-01-21,119.66999816894531,120.63999938964844,116.25,116.73999786376953,116.73999786376953,295500,2020-01-21
2020-01-22,116.5999984741211,120.93000030517578,116.5,120.5999984741211,120.5999984741211,335900,2020-01-22
2020-01-23,119.81999969482422,124.62000274658203,119.81999969482422,123.5,123.5,304000,2020-01-23
2020-01-24,124.19999694824219,126.79000091552734,122.69999694824219,124.18000030517578,124.18000030517578,191900,2020-01-24
2020-01-27,121.0999984741211,124.37000274658203,120.0999984741211,123.25,123.25,883000,2020-01-27
2020-01-28,124.12999725341797,130.75,122.51000213623047,130.10000610351562,130.10000610351562,285500,2020-01-28
2020-01-29,131.0,131.0,123.79000091552734,125.79000091552734,125.79000091552734,365700,2020-01-29
2020-01-30,125.80999755859375,128.10000610351562,124.98999786376953,127.5999984741211,127.5999984741211,280800,2020-01-30
2020-01-31,127.0999984741211,127.4000015258789,121.88999938964844,122.69999694824219,122.69999694824219,284600,2020-01-31
2020-02-03,123.19999694824219,124.8499984741211,120.0199966430664,124.4800033569336,124.4800033569336,219800,2020-02-03
2020-02-04,126.48999786376953,128.36000061035156,125.55999755859375,126.62999725341797,126.62999725341797,204300,2020-02-04
2020-02-05,127.83000183105469,128.5399932861328,120.0999984741211,121.87999725341797,121.87999725341797,299200,2020-02-05
2020-02-06,122.22000122070312,127.125,121.62999725341797,125.0,125.0,314000,2020-02-06
2020-02-07,124.62999725341797,125.08000183105469,121.16999816894531,121.55999755859375,121.55999755859375,157900,2020-02-07
2020-02-10,121.55999755859375,124.98999786376953,121.30000305175781,123.5999984741211,123.5999984741211,277300,2020-02-10
2020-02-11,125.06999969482422,125.06999969482422,121.83000183105469,122.55000305175781,122.55000305175781,277300,2020-02-11
2020-02-12,123.0,125.91000366210938,120.0999984741211,125.47000122070312,125.47000122070312,288900,2020-02-12
2020-02-13,124.44000244140625,126.80000305175781,123.96299743652344,126.08000183105469,126.08000183105469,180400,2020-02-13
